s_m,x_m,y_m,z_m,heading_rad,curvature_radpm,slope_pct
0.000000,100.000000,0.000000,0.000000,1.570796,0.010000,0.000000
9.973310,99.503078,9.956785,0.000000,1.670529,0.010000,0.000000
19.946620,98.017249,19.814614,0.000000,1.770263,0.010000,0.000000
29.919930,95.557281,29.475517,0.000000,1.869996,0.010000,0.000000
39.893240,92.147621,38.843480,0.000000,1.969729,0.010000,0.000000
49.866550,87.822157,47.825398,0.000000,2.069462,0.010000,0.000000
59.839860,82.623877,56.332006,0.000000,2.169195,0.010000,0.000000
69.813170,76.604444,64.278761,0.000000,2.268928,0.010000,0.000000
79.786480,69.823682,71.586685,0.000000,2.368661,0.010000,0.000000
89.759790,62.348980,78.183148,0.000000,2.468394,0.010000,0.000000
99.733100,54.254626,84.002592,0.000000,2.568127,0.010000,0.000000
109.706410,45.621066,88.987181,0.000000,2.667860,0.010000,0.000000
119.679720,36.534102,93.087375,0.000000,2.767594,0.010000,0.000000
129.653030,27.084047,96.262425,0.000000,2.867327,0.010000,0.000000
139.626340,17.364818,98.480775,0.000000,2.967060,0.010000,0.000000
149.599650,7.473009,99.720380,0.000000,3.066793,0.010000,0.000000
159.572960,-2.493069,99.968918,0.000000,3.166526,0.010000,0.000000
169.546270,-12.434370,99.223921,0.000000,3.266259,0.010000,0.000000
179.519580,-22.252093,97.492791,0.000000,3.365992,0.010000,0.000000
189.492890,-31.848665,94.792735,0.000000,3.465725,0.010000,0.000000
199.466200,-41.128710,91.150585,0.000000,3.565458,0.010000,0.000000
209.439510,-50.000000,86.602540,0.000000,3.665191,0.010000,0.000000
219.412820,-58.374367,81.193801,0.000000,3.764925,0.010000,0.000000
229.386130,-66.168584,74.978120,0.000000,3.864658,0.010000,0.000000
239.359440,-73.305187,68.017274,0.000000,3.964391,0.010000,0.000000
249.332750,-79.713251,60.380441,0.000000,4.064124,0.010000,0.000000
259.306060,-85.329088,52.143520,0.000000,4.163857,0.010000,0.000000
269.279370,-90.096887,43.388374,0.000000,4.263590,0.010000,0.000000
279.252680,-93.969262,34.202014,0.000000,4.363323,0.010000,0.000000
289.225990,-96.907729,24.675740,0.000000,4.463056,0.010000,0.000000
299.199300,-98.883083,14.904227,0.000000,4.562789,0.010000,0.000000
309.172610,-99.875692,4.984589,0.000000,4.662522,0.010000,0.000000
319.145920,-99.875692,-4.984589,0.000000,4.762256,0.010000,0.000000
329.119230,-98.883083,-14.904227,0.000000,4.861989,0.010000,0.000000
339.092540,-96.907729,-24.675740,0.000000,4.961722,0.010000,0.000000
349.065850,-93.969262,-34.202014,0.000000,5.061455,0.010000,0.000000
359.039160,-90.096887,-43.388374,0.000000,5.161188,0.010000,0.000000
369.012470,-85.329088,-52.143520,0.000000,5.260921,0.010000,0.000000
378.985780,-79.713251,-60.380441,0.000000,5.360654,0.010000,0.000000
388.959090,-73.305187,-68.017274,0.000000,5.460387,0.010000,0.000000
398.932400,-66.168584,-74.978120,0.000000,5.560120,0.010000,0.000000
408.905710,-58.374367,-81.193801,0.000000,5.659853,0.010000,0.000000
418.879020,-50.000000,-86.602540,0.000000,5.759587,0.010000,0.000000
428.852330,-41.128710,-91.150585,0.000000,5.859320,0.010000,0.000000
438.825641,-31.848665,-94.792735,0.000000,5.959053,0.010000,0.000000
448.798951,-22.252093,-97.492791,0.000000,6.058786,0.010000,0.000000
458.772261,-12.434370,-99.223921,0.000000,6.158519,0.010000,0.000000
468.745571,-2.493069,-99.968918,0.000000,6.258252,0.010000,0.000000
478.718881,7.473009,-99.720380,0.000000,6.357985,0.010000,0.000000
488.692191,17.364818,-98.480775,0.000000,6.457718,0.010000,0.000000
498.665501,27.084047,-96.262425,0.000000,6.557451,0.010000,0.000000
508.638811,36.534102,-93.087375,0.000000,6.657184,0.010000,0.000000
518.612121,45.621066,-88.987181,0.000000,6.756918,0.010000,0.000000
528.585431,54.254626,-84.002592,0.000000,6.856651,0.010000,0.000000
538.558741,62.348980,-78.183148,0.000000,6.956384,0.010000,0.000000
548.532051,69.823682,-71.586685,0.000000,7.056117,0.010000,0.000000
558.505361,76.604444,-64.278761,0.000000,7.155850,0.010000,0.000000
568.478671,82.623877,-56.332006,0.000000,7.255583,0.010000,0.000000
578.451981,87.822157,-47.825398,0.000000,7.355316,0.010000,0.000000
588.425291,92.147621,-38.843480,0.000000,7.455049,0.010000,0.000000
598.398601,95.557281,-29.475517,0.000000,7.554782,0.010000,0.000000
608.371911,98.017249,-19.814614,0.000000,7.654515,0.010000,0.000000
618.345221,99.503078,-9.956785,0.000000,7.754249,0.010000,0.000000
628.318531,100.000000,-0.000000,0.000000,7.853982,0.010000,0.000000
