s_m,x_m,y_m,z_m,heading_rad,curvature_radpm,slope_pct
0.0,681.0245483066244,-137.61859081200143,0.0,-0.8852850419091128,0.0001300109353433562,0.0
1.0,681.6580003046131,-138.3931547485974,0.0,-0.8852013762214134,0.0001299091923220863,0.0
2.0,682.2915871440781,-139.16761908598846,0.0,-0.8850347334148025,0.00013532861933156026,0.0
3.0,682.9253076094177,-139.9419845079838,0.0,-0.8848694662658868,0.0001464057682848328,0.0
4.0,683.5591604850302,-140.7162516983924,0.0,-0.8847055746315149,0.00015717902070659453,0.0
5.0,684.1931445553142,-141.49042134102342,0.0,-0.8845430583700886,0.00016182892317891304,0.0
6.0,684.8272586046683,-142.26449411968588,0.0,-0.884381917341747,0.00016045375616076583,0.0
7.0,685.4615014174906,-143.03847071818893,0.0,-0.8842221514081905,0.00015907872673626142,0.0
8.0,686.0958717781796,-143.81235182034163,0.0,-0.8840637604324434,0.00015770383332958896,0.0
9.0,686.7303684711338,-144.58613810995308,0.0,-0.8839067442792677,0.00015632907435193206,0.0
10.0,687.3649902807517,-145.35983027083236,0.0,-0.8837511028151709,0.000154954448228471,0.0
11.0,687.9997359914314,-146.13342898678854,0.0,-0.8835968359079232,0.00015357995335640862,0.0
12.0,688.6346043875717,-146.90693494163074,0.0,-0.8834439434270661,0.0001522055881030826,0.0
13.0,689.2695942535707,-147.68034881916802,0.0,-0.8832924252438424,0.00015083135086888365,0.0
14.0,689.9047043738271,-148.4536713032095,0.0,-0.8831422812308964,0.00014945724003723976,0.0
15.0,690.5399335327394,-149.22690307756423,0.0,-0.8829935112627477,0.00014808325396009625,0.0
16.0,691.1752805147057,-150.0000448260413,0.0,-0.8828461152155203,0.00014670939100063545,0.0
17.0,691.8107441041245,-150.77309723244986,0.0,-0.882700092966754,0.00014533564950390342,0.0
18.0,692.4463230853944,-151.54606098059892,0.0,-0.8825554443958187,0.00014396202781071944,0.0
19.0,693.0820162429136,-152.31893675429762,0.0,-0.8824121693837292,0.00014258852426921438,0.0
20.0,693.7178223610807,-153.09172523735498,0.0,-0.8822702678131704,0.0001412151372063773,0.0
21.0,694.353740224294,-153.86442711358015,0.0,-0.8821297395685138,0.00013984186492372555,0.0
22.0,694.9897686169521,-154.6370430667822,0.0,-0.8819905845357803,0.00013846870572965203,0.0
23.0,695.6259063234533,-155.40957378077027,0.0,-0.8818528026027187,0.00013709565794931385,0.0
24.0,696.2621521281959,-156.18201993935332,0.0,-0.8817163936586663,0.00013572271987222215,0.0
25.0,696.8985048155787,-156.95438222634058,0.0,-0.8815813575949742,0.00013434988977601662,0.0
26.0,697.5349631699995,-157.72666132554102,0.0,-0.8814476943043585,0.00013297716595070793,0.0
27.0,698.1715259758573,-158.4988579207638,0.0,-0.8813154036812507,0.00013160454665659245,0.0
28.0,698.8081920175505,-159.27097269581802,0.0,-0.8811844856222224,0.00013023203016817743,0.0
29.0,699.4449600794771,-160.04300633451268,0.0,-0.8810549400252075,0.00012885961476014459,0.0
30.0,700.081828946036,-160.8149595206569,0.0,-0.8809267667899816,0.00012748729865991182,0.0
31.0,700.7187974016254,-161.58683293805984,0.0,-0.8807999658182111,0.00012611508011603885,0.0
32.0,701.3558642306435,-162.35862727053055,0.0,-0.880674537013075,0.00012474295738530903,0.0
33.0,701.993028217489,-163.13034320187805,0.0,-0.8805504802796158,0.00012337092868632983,0.0
34.0,702.6302881465604,-163.90198141591148,0.0,-0.8804277955247547,0.00012199899223758986,0.0
35.0,703.2676428022559,-164.67354259643997,0.0,-0.8803064826570939,0.0001206271462671176,0.0
36.0,703.905090968974,-165.4450274272726,0.0,-0.8801865415869417,0.00011925538898126848,0.0
37.0,704.5426314311134,-166.21643659221834,0.0,-0.8800679722266388,0.00011788371857374929,0.0
38.0,705.1802629730721,-166.98777077508643,0.0,-0.8799507744902276,0.00011651213325849667,0.0
39.0,705.8179843792486,-167.75903065968583,0.0,-0.8798349482933188,0.00011514063122207233,0.0
40.0,706.4557944340416,-168.53021692982574,0.0,-0.8797204935536342,0.0001137692106337502,0.0
41.0,707.0936919218493,-169.30133026931517,0.0,-0.8796074101907038,0.0001123978696984345,0.0
42.0,707.73167562707,-170.0723713619632,0.0,-0.8794956981255259,0.00011102660658515333,0.0
43.0,708.3697443341026,-170.843340891579,0.0,-0.8793853572814007,0.00010965541943745518,0.0
44.0,709.007896827345,-171.6142395419716,0.0,-0.8792763875833073,0.00010828430642967346,0.0
45.0,709.6461318911959,-172.38506799695008,0.0,-0.8791687889577811,0.00010691326571458739,0.0
46.0,710.2844483100537,-173.15582694032355,0.0,-0.8790625613335732,0.00010554229543718081,0.0
47.0,710.9228448683168,-173.92651705590106,0.0,-0.8789577046412554,0.0001041713937519855,0.0
48.0,711.5613203503835,-174.69713902749177,0.0,-0.8788542188130671,0.00010280055878401718,0.0
49.0,712.1998735406524,-175.4676935389047,0.0,-0.8787521037831583,0.0001014297886588863,0.0
50.0,712.8385032235219,-176.238181273949,0.0,-0.8786513594876477,0.0001000590815121795,0.0
51.0,713.4772081833904,-177.0086029164337,0.0,-0.8785519858645324,9.868843546010998e-05,0.0
52.0,714.1159872046562,-177.77895915016788,0.0,-0.8784539828535797,9.731784861268958e-05,0.0
53.0,714.754839071718,-178.54925065896066,0.0,-0.8783573503965502,9.594731908451377e-05,0.0
54.0,715.393762568974,-179.31947812662114,0.0,-0.878262088437108,9.45768449766095e-05,0.0
55.0,716.0327564808227,-180.08964223695838,0.0,-0.8781681969207731,9.320642438231941e-05,0.0
56.0,716.6718195916624,-180.8597436737815,0.0,-0.8780756757948747,9.18360553972938e-05,0.0
57.0,717.3109506858917,-181.62978312089956,0.0,-0.8779845250087481,9.046573611179838e-05,0.0
58.0,717.950148547909,-182.39976126212164,0.0,-0.8778947445137595,8.909546460601967e-05,0.0
59.0,718.5894119621126,-183.1696787812569,0.0,-0.8778063342630001,8.7725238952777e-05,0.0
60.0,719.2287397129011,-183.9395363621143,0.0,-0.8777192942115676,8.635505722801425e-05,0.0
61.0,719.8681305846728,-184.709334688503,0.0,-0.8776336243165254,8.498491749899964e-05,0.0
62.0,720.5075833618262,-185.47907444423208,0.0,-0.8775493245368714,8.361481782065418e-05,0.0
63.0,721.1470968287596,-186.24875631311068,0.0,-0.8774663948334375,8.224475626122941e-05,0.0
64.0,721.7866697698714,-187.0183809789478,0.0,-0.8773848351689931,8.087473087831087e-05,0.0
65.0,722.4263009695604,-187.78794912555256,0.0,-0.8773046455085285,7.95047397053764e-05,0.0
66.0,723.0659892122245,-188.55746143673406,0.0,-0.877225825818742,7.813478078985295e-05,0.0
67.0,723.7057332822625,-189.3269185963014,0.0,-0.8771483760681685,7.67648521800081e-05,0.0
68.0,724.3455319640727,-190.09632128806365,0.0,-0.8770722962276281,7.539495190789224e-05,0.0
69.0,724.9853840420536,-190.86567019582984,0.0,-0.8769975862698934,7.402507800163827e-05,0.0
70.0,725.6252883006033,-191.63496600340918,0.0,-0.8769242461693575,7.26552284808224e-05,0.0
71.0,726.2652435241207,-192.4042093946107,0.0,-0.876852275902553,7.128540136954108e-05,0.0
72.0,726.905248497004,-193.17340105324342,0.0,-0.8767816754482581,6.991559469480902e-05,0.0
73.0,727.5453020036516,-193.94254166311651,0.0,-0.8767124447869894,6.854580647710653e-05,0.0
74.0,728.1854028284619,-194.71163190803904,0.0,-0.8766445839011896,6.717603471385296e-05,0.0
75.0,728.8255497558334,-195.4806724718201,0.0,-0.8765780927754334,6.58062774019522e-05,0.0
76.0,729.4657415701645,-196.24966403826878,0.0,-0.8765129713963608,6.44365325639543e-05,0.0
77.0,730.1059770558534,-197.01860729119412,0.0,-0.8764492197522107,6.306679819408277e-05,0.0
78.0,730.746254997299,-197.78750291440525,0.0,-0.8763868378337059,6.169707228104171e-05,0.0
79.0,731.3865741788994,-198.5563515917113,0.0,-0.8763258256334779,6.0327352824233026e-05,0.0
80.0,732.0269333850531,-199.32515400692125,0.0,-0.8762661831458742,5.895763779519995e-05,0.0
81.0,732.6673314001586,-200.0939108438443,0.0,-0.8762079103675876,5.758792518638169e-05,0.0
82.0,733.3077670086141,-200.86262278628945,0.0,-0.8761510072971008,5.6218212991129436e-05,0.0
83.0,733.9482389948183,-201.63129051806584,0.0,-0.8760954739351541,5.4848499171375066e-05,0.0
84.0,734.5887461431693,-202.39991472298252,0.0,-0.8760413102842846,5.3478781709407185e-05,0.0
85.0,735.2292872380658,-203.1684960848486,0.0,-0.8759885163490226,5.21090585749768e-05,0.0
86.0,735.8698610639062,-203.9370352874732,0.0,-0.8759370921362853,5.0739327732981666e-05,0.0
87.0,736.5104664050888,-204.70553301466535,0.0,-0.8758870376546676,4.936958715200707e-05,0.0
88.0,737.151102046012,-205.47398995023414,0.0,-0.8758383529148626,4.799983478440525e-05,0.0
89.0,737.7917667710745,-206.24240677798872,0.0,-0.8757910379297762,4.663006860399539e-05,0.0
90.0,738.4324593646745,-207.01078418173813,0.0,-0.875745092714217,4.52602865631773e-05,0.0
91.0,739.0731786112104,-207.77912284529143,0.0,-0.8757005172850936,4.3890486604675995e-05,0.0
92.0,739.7139232950806,-208.54742345245774,0.0,-0.875657311661232,4.252066668573663e-05,0.0
93.0,740.3546922006838,-209.3156866870462,0.0,-0.8756154758636201,4.1150824750971596e-05,0.0
94.0,740.9954841124181,-210.08391323286583,0.0,-0.8755750099154483,3.9780958755143895e-05,0.0
95.0,741.636297814682,-210.8521037737257,0.0,-0.8755359138416163,3.841106663491197e-05,0.0
96.0,742.2771320918743,-211.62025899343493,0.0,-0.8754981876694221,3.7041146324214206e-05,0.0
97.0,742.9179857283928,-212.38837957580265,0.0,-0.8754618314280574,3.567119577641791e-05,0.0
98.0,743.5588575086363,-213.1564662046379,0.0,-0.8754268451486811,3.430121291481918e-05,0.0
99.0,744.199746217003,-213.92451956374973,0.0,-0.8753932288647557,3.293119566983542e-05,0.0
100.0,744.8406506378916,-214.6925403369473,0.0,-0.8753609826115574,3.156114198500053e-05,0.0
101.0,745.4815695557005,-215.46052920803967,0.0,-0.8753301064266412,3.019104978304757e-05,0.0
102.0,746.122501754828,-216.22848686083597,0.0,-0.875300600349616,2.8820916991182225e-05,0.0
103.0,746.7634460196725,-216.99641397914516,0.0,-0.8752724644220448,2.7450741531542807e-05,0.0
104.0,747.4044011346325,-217.76431124677646,0.0,-0.8752456986876448,2.608052132721924e-05,0.0
105.0,748.0453658841063,-218.5321793475389,0.0,-0.8752203031921311,2.471025430633711e-05,0.0
106.0,748.6863390524926,-219.3000189652416,0.0,-0.8751962779834291,2.333993838736305e-05,0.0
107.0,749.3273194241895,-220.06783078369358,0.0,-0.8751736231114423,2.196957148397389e-05,0.0
108.0,749.9683057835956,-220.835615486704,0.0,-0.8751523386281752,2.0599151514969334e-05,0.0
109.0,750.6092969151093,-221.60337375808191,0.0,-0.8751324245877933,1.9228676398229195e-05,0.0
110.0,751.2502916031291,-222.37110628163643,0.0,-0.8751138810464444,1.785814403705764e-05,0.0
111.0,751.8912886320533,-223.1388137411766,0.0,-0.8750967080624695,1.648755234827976e-05,0.0
112.0,752.5322867862802,-223.90649682051156,0.0,-0.8750809056960968,1.5116899246206802e-05,0.0
113.0,753.1732848502087,-224.67415620345037,0.0,-0.8750664740098882,1.37461826382904e-05,0.0
114.0,753.8142816082367,-225.44179257380208,0.0,-0.8750534130684644,1.2375400439476206e-05,0.0
115.0,754.4552758447628,-226.2094066153758,0.0,-0.8750417229382772,1.1004550540459426e-05,0.0
116.0,755.0962663441857,-226.9769990119807,0.0,-0.8750314036882444,9.633630846986715e-06,0.0
117.0,755.7372518909033,-227.74457044742576,0.0,-0.8750224553890572,8.262639283266157e-06,0.0
118.0,756.3782312693146,-228.51212160552012,0.0,-0.875014878113704,6.8915737459723e-06,0.0
119.0,757.0192032638175,-229.27965317007283,0.0,-0.8750086719372958,5.5204321337860255e-06,0.0
120.0,757.6601666588108,-230.04716582489303,0.0,-0.8750038369368314,4.149212350661774e-06,0.0
121.0,758.3011202386926,-230.81466025378978,0.0,-0.8750003731915555,2.777912293892649e-06,0.0
122.0,758.9420627878617,-231.58213714057217,0.0,-0.8749982807827424,1.406529870129347e-06,0.0
123.0,759.5829930907163,-232.34959716904928,0.0,-0.8749975597939061,3.5062976450855084e-08,0.0
124.0,760.2239099316548,-233.1170410230302,0.0,-0.8749982103104862,-1.3364904897783525e-06,0.0
125.0,760.8648120950759,-233.88446938632404,0.0,-0.8750002324201606,-2.708132623453961e-06,0.0
126.0,761.5056983653776,-234.65188294273983,0.0,-0.8750036262126575,-4.079865521945868e-06,0.0
127.0,762.1465675269586,-235.4192823760867,0.0,-0.8750083917797994,-5.451691295232929e-06,0.0
128.0,762.7874183642172,-236.1866683701738,0.0,-0.8750145292154444,-6.823612048615209e-06,0.0
129.0,763.4282496615518,-236.9540416088101,0.0,-0.8750220386155819,-8.195629869510246e-06,0.0
130.0,764.069060203361,-237.72140277580473,0.0,-0.8750309200783739,-9.567746866326729e-06,0.0
131.0,764.7098487740433,-238.4887525549668,0.0,-0.8750411737041517,-1.0939965140359981e-05,0.0
132.0,765.3506141579967,-239.25609163010537,0.0,-0.8750527995951757,-1.2312286790534214e-05,0.0
133.0,765.99135513962,-240.02342068502958,0.0,-0.8750657978558155,-1.3684713938247723e-05,0.0
134.0,766.6320705033115,-240.79074040354845,0.0,-0.8750801685927699,-1.5057248668610371e-05,0.0
135.0,767.2727590334695,-241.55805146947108,0.0,-0.8750959119144389,-1.64298930686987e-05,0.0
136.0,767.9134195144927,-242.3253545666066,0.0,-0.8751130279316549,-1.7802649262543824e-05,0.0
137.0,768.5540507307794,-243.0926503787641,0.0,-0.8751315167574364,-1.9175519341813846e-05,0.0
138.0,769.1946514667278,-243.8599395897526,0.0,-0.8751513785064498,-2.0548505403458363e-05,0.0
139.0,769.8352205067367,-244.6272228833812,0.0,-0.8751726132958394,-2.1921609562587054e-05,0.0
140.0,770.4757566352043,-245.3945009434591,0.0,-0.8751952212448274,-2.329483390135976e-05,0.0
141.0,771.1162586365291,-246.16177445379523,0.0,-0.8752192024745434,-2.4668180512435862e-05,0.0
142.0,771.7567252951094,-246.92904409819877,0.0,-0.8752445571083138,-2.6041651506833068e-05,0.0
143.0,772.3971553953438,-247.69631056047876,0.0,-0.8752712852716562,-2.7415248983213886e-05,0.0
144.0,773.0375477216305,-248.46357452444437,0.0,-0.8752993870920541,-2.8788975032580296e-05,0.0
145.0,773.6779010583682,-249.23083667390463,0.0,-0.8753288626990061,-3.016283174966145e-05,0.0
146.0,774.3182141899553,-249.9980976926686,0.0,-0.8753597122243787,-3.153682123077254e-05,0.0
147.0,774.95848590079,-250.7653582645454,0.0,-0.8753919358020531,-3.2910945561776774e-05,0.0
148.0,775.5987149752708,-251.53261907334414,0.0,-0.8754255335677739,-3.428520683803773e-05,0.0
149.0,776.2389001977963,-252.29988080287384,0.0,-0.8754605056595787,-3.5659607152500285e-05,0.0
150.0,776.8790403527646,-253.06714413694365,0.0,-0.8754968522176222,-3.703414859291503e-05,0.0
151.0,777.5191342245744,-253.83440975936267,0.0,-0.875534573383953,-3.8408833249443343e-05,0.0
152.0,778.159180597624,-254.60167835393992,0.0,-0.8755736693028398,-3.9783663198281586e-05,0.0
153.0,778.799178256312,-255.36895060448452,0.0,-0.8756141401206801,-4.115864052844919e-05,0.0
154.0,779.4391259850366,-256.13622719480554,0.0,-0.8756559859860525,-4.253376733452464e-05,0.0
155.0,780.0790225681963,-256.90350880871216,0.0,-0.8756992070492666,-4.3909045692363293e-05,0.0
156.0,780.7188667901895,-257.67079613001334,0.0,-0.8757438034628618,-4.5284477677043355e-05,0.0
157.0,781.3586574354148,-258.43808984251825,0.0,-0.8757897753817373,-4.6660065357275104e-05,0.0
158.0,781.9983932882702,-259.2053906300359,0.0,-0.8758371229625213,-4.803581081419539e-05,0.0
159.0,782.6380731331546,-259.97269917637556,0.0,-0.8758858463639646,-4.941171614327087e-05,0.0
160.0,783.2776957544662,-260.74001616534605,0.0,-0.8759359457470338,-5.0787783404123866e-05,0.0
161.0,783.9172599366035,-261.50734228075663,0.0,-0.8759874212747006,-5.216401465260193e-05,0.0
162.0,784.5567644639649,-262.27467820641635,0.0,-0.8760402731120173,-5.354041196620989e-05,0.0
163.0,785.1962081209488,-263.04202462613426,0.0,-0.876094501426117,-5.491697741658426e-05,0.0
164.0,785.8355896919536,-263.80938222371964,0.0,-0.8761501063861399,-5.6293713062903284e-05,0.0
165.0,786.4749079613777,-264.5767516829813,0.0,-0.8762070881632551,-5.7670620967437926e-05,0.0
166.0,787.1141617136195,-265.34413368772846,0.0,-0.8762654469307577,-5.9047703186900146e-05,0.0
167.0,787.7533497330777,-266.11152892177023,0.0,-0.8763251828640729,-6.042496177158637e-05,0.0
168.0,788.3924708041504,-266.87893806891566,0.0,-0.8763862961405422,-6.180239878585323e-05,0.0
169.0,789.0315237112363,-267.6463618129738,0.0,-0.8764487869397198,-6.318001627265384e-05,0.0
170.0,789.6705072387335,-268.41380083775385,0.0,-0.876512655443031,-6.455781627688418e-05,0.0
171.0,790.3094201710408,-269.1812558270648,0.0,-0.8765779018340281,-6.593580085914992e-05,0.0
172.0,790.9482612925561,-269.9487274647158,0.0,-0.8766445262983689,-6.73139720527135e-05,0.0
173.0,791.5870293876783,-270.71621643451584,0.0,-0.8767125290234611,-6.869233189071843e-05,0.0
174.0,792.2257232408058,-271.48372342027403,0.0,-0.8767819101992459,-7.007088241213686e-05,0.0
175.0,792.8643416363368,-272.2512491057996,0.0,-0.8768526700173973,-7.144962565338744e-05,0.0
176.0,793.5028833586699,-273.01879417490153,0.0,-0.8769248086716027,-7.28285636542195e-05,0.0
177.0,794.1413471922033,-273.7863593113889,0.0,-0.8769983263576182,-7.420769843423183e-05,0.0
178.0,794.7797319213357,-274.5539451990708,0.0,-0.8770732232732108,-7.558703201074721e-05,0.0
179.0,795.4180363304653,-275.32155252175625,0.0,-0.8771494996183336,-7.69665664036499e-05,0.0
180.0,796.0562592039906,-276.0891819632546,0.0,-0.8772271555946555,-7.83463036299297e-05,0.0
181.0,796.6943993263102,-276.8568342073746,0.0,-0.8773061914061308,-7.972624571424478e-05,0.0
182.0,797.3324554818222,-277.62450993792555,0.0,-0.8773866072586629,-8.110639465364848e-05,0.0
183.0,797.9704264549252,-278.39220983871655,0.0,-0.8774684033599882,-8.248675245819959e-05,0.0
184.0,798.6083110300177,-279.15993459355656,0.0,-0.8775515799200517,-8.386732114358728e-05,0.0
